Date,Not indexed,Indexed,Impressions
2026-06-09,,,0
2026-06-10,,,0
2026-06-11,,,7
2026-06-12,6,9,13
2026-06-13,5,53,3
2026-06-14,5,53,15
2026-06-15,5,53,9
2026-06-16,5,53,14
2026-06-17,5,53,33
2026-06-18,5,53,24
2026-06-19,5,53,19
2026-06-20,5,53,19
2026-06-21,5,53,17
2026-06-22,5,53,43
2026-06-23,5,53,87
2026-06-24,5,53,66
2026-06-25,5,53,121
2026-06-26,5,53,91
2026-06-27,5,53,80
2026-06-28,5,53,100
2026-06-29,5,53,115
2026-06-30,5,53,113
2026-07-01,5,53,112
2026-07-02,5,53,95
2026-07-03,5,53,65
2026-07-04,5,53,91
2026-07-05,5,53,81
2026-07-06,5,53,140
2026-07-07,5,53,156
2026-07-08,5,53,139
2026-07-09,5,53,141
2026-07-10,5,53,131
